fighter,mma_record,height,weight,reach,stance,dob,sig_str_per_min,sig_str_acc,sig_str_absorbed_per_min,sig_str_def,td_avg,td_acc,td_def,sub_avg
Leonard Garcia,Record: 18-13-1,177.8,Featherweight,172.7,Orthodox,1979-07-14,2.77,24%,4.79,52%,0.30,26%,42%,0.5
Leonardo Damiani,Record: 10-3-1,177.8,Welterweight,175.3,Orthodox,1990-08-30,1.67,23%,4.17,37%,0.00,0%,50%,0.0
Leonardo Guimaraes,Record: 11-5-0 (1 NC),182.9,Middleweight,,Orthodox,1982-04-15,2.35,56%,2.99,44%,0.00,0%,52%,1.0
Leonardo Mafra,Record: 13-4-0,177.8,Lightweight,177.8,Orthodox,1989-04-25,4.55,48%,4.38,43%,2.12,83%,69%,0.4
Leonardo Morales,Record: 6-2-0,172.7,Bantamweight,,Southpaw,1992-12-22,2.05,47%,2.05,58%,0.00,0%,62%,0.0
Leonardo Santos,Record: 18-7-1,182.9,Lightweight,190.5,Orthodox,1980-02-05,2.82,46%,3.40,54%,0.88,25%,86%,0.2
Leonardo Silva de Oliveira,Record: 12-4-0,188.0,Middleweight,,Orthodox,1992-04-23,1.07,40%,0.54,50%,24.11,50%,0%,0.0
Lerone Murphy,Record: 12-0-1,175.3,Featherweight,185.4,Orthodox,1991-07-22,3.58,48%,2.64,55%,0.83,37%,43%,0.6
Leslie Smith,Record: 10-7-1,175.3,Bantamweight,167.6,Orthodox,1982-08-17,7.56,40%,8.41,51%,0.00,0%,62%,0.0
Levan Makashvili,Record: 15-2-1,172.7,Featherweight,172.7,Orthodox,1989-01-07,2.87,54%,2.07,61%,3.67,42%,85%,0.0
Levi Alford,Record: 1-7-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Levi Avera,Record: 18-15-0,185.4,Welterweight,,,1982-05-17,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Lewis Gonzalez,Record: 11-3-0,177.8,Welterweight,,Orthodox,1987-09-19,1.40,37%,1.87,41%,2.00,33%,62%,0.0
Li Jingliang,Record: 19-8-0,182.9,Welterweight,180.3,Orthodox,1988-03-20,4.46,42%,3.84,57%,1.25,41%,60%,0.0
Li Kaiwen,Record: 11-5-0,175.3,Featherweight,182.9,Southpaw,1995-10-16,20.28,57%,2.54,80%,0.00,0%,100%,0.0
Liam McGeary,Record: 12-2-0,198.1,Lightheavyweight,,,1982-10-04,1.28,48%,1.92,50%,0.51,100%,0%,2.5
Liana Jojua,Record: 8-5-0,162.6,Flyweight,157.5,Orthodox,1995-03-22,2.42,30%,5.32,54%,1.71,66%,50%,1.3
Liang Na,Record: 19-6-0,165.1,Flyweight,170.2,Orthodox,1996-07-27,2.94,52%,4.09,27%,5.74,50%,0%,1.9
Liliya Shakirova,Record: 8-2-0,162.6,Flyweight,165.1,Orthodox,1991-10-24,2.70,30%,2.58,74%,0.00,0%,0%,0.0
Lina Kvokov,Record: 0-3-0,175.3,Bantamweight,,Orthodox,,2.31,30%,12.12,19%,0.00,0%,0%,0.0
Lina Lansberg,Record: 10-8-0,170.2,Bantamweight,165.1,Orthodox,1982-03-13,2.69,55%,3.87,44%,0.52,27%,47%,0.1
Linton Vassell,Record: 18-5-0 (1 NC),193.0,Lightheavyweight,,,1983-06-03,3.39,37%,2.13,54%,2.46,50%,50%,0.0
Lionel Lanham,Record: 5-1-0,,Lightheavyweight,,,1980-08-31,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Lisa Ellis,Record: 15-11-0,162.6,Flyweight,,,1982-11-15,1.68,48%,2.32,57%,4.19,63%,50%,0.6
Lissette Neri,Record: 6-4-0,157.5,Featherweight,,,1987-08-05,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Liudvik Sholinian,Record: 9-4-1,177.8,Bantamweight,180.3,Orthodox,1990-01-20,2.50,30%,5.67,55%,0.00,0%,66%,0.0
Livinha Souza,Record: 14-4-0,160.0,Flyweight,160.0,Orthodox,1991-03-11,1.75,45%,3.60,56%,2.54,45%,40%,1.4
Liz Carmouche,Record: 13-7-0,167.6,Flyweight,167.6,Orthodox,1984-02-19,2.78,54%,2.51,61%,2.57,51%,65%,0.3
Lloyd Van Dams,Record: 0-1-0,185.4,Heavyweight,,Southpaw,1972-03-05,0.00,0%,3.01,15%,0.00,0%,0%,0.0
Lodune Sincaid,Record: 15-9-0,175.3,Middleweight,,Orthodox,1973-05-07,2.72,42%,6.17,57%,0.00,0%,75%,0.0
Logan Clark,Record: 18-6-0,188.0,Middleweight,,Orthodox,1985-02-16,2.20,54%,1.49,53%,0.31,100%,30%,2.1
Logan Nail,Record: 1-1-0,,Middleweight,,,1989-06-20,1.93,51%,2.27,39%,0.00,0%,37%,0.0
Logan Urban,Record: 5-1-0 (1 NC),182.9,Welterweight,182.9,Orthodox,1994-04-22,2.55,66%,16.60,27%,0.00,0%,0%,0.0
Loik Radzhabov,Record: 18-4-1,180.3,Lightweight,175.3,Orthodox,1990-09-17,2.67,47%,4.40,48%,11.00,52%,100%,0.0
Lolohea Mahe,Record: 10-4-1,,,,,,1.71,29%,6.92,40%,2.44,40%,0%,0.0
Loma Lookboonmee,Record: 8-3-0,154.9,Flyweight,154.9,Orthodox,1996-01-18,4.14,58%,2.58,52%,2.04,50%,74%,0.2
Loopy Godinez,Record: 10-3-0,157.5,Flyweight,154.9,Orthodox,1993-09-06,4.16,49%,3.77,62%,3.43,43%,81%,0.6
Lorenz Larkin,Record: 18-6-0 (1 NC),180.3,Welterweight,182.9,Orthodox,1986-09-03,3.53,46%,2.74,63%,0.27,42%,79%,0.1
Lorenzo Hood,Record: 14-5-0 (1 NC),190.5,Heavyweight,203.2,Southpaw,1989-03-02,2.64,61%,4.66,11%,0.00,0%,100%,0.0
Louis Cosce,Record: 7-2-0,175.3,Welterweight,180.3,Orthodox,1995-08-27,4.31,45%,5.35,47%,1.04,20%,50%,0.5
Louis Gaudinot,Record: 8-4-0 (1 NC),160.0,Flyweight,160.0,Orthodox,1984-08-28,2.34,37%,6.42,48%,0.57,40%,31%,1.1
Louis Jauregui,Record: 4-2-0,170.2,Welterweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Louis Smolka,Record: 17-9-0,175.3,Bantamweight,172.7,Orthodox,1991-07-16,4.67,47%,4.11,53%,1.69,35%,32%,1.8
Louis Taylor,Record: 13-4-0,180.3,Middleweight,,Orthodox,1979-05-12,2.06,32%,1.24,68%,2.48,28%,100%,0.0
Lowell Anderson,Record: 0-1-0,167.6,Lightweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Lu Kai,Record: 8-5-0 (1 NC),175.3,Featherweight,175.3,Orthodox,1994-03-01,3.76,43%,5.51,55%,2.62,50%,100%,2.6
Lu Zhengyong,Record: 12-7-0,,Flyweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Luan Chagas,Record: 15-3-1,182.9,Welterweight,190.5,Orthodox,1993-06-17,4.16,47%,3.19,62%,0.32,12%,85%,0.3
Luan Lacerda,Record: 12-3-0,170.2,Bantamweight,180.3,Orthodox,1993-01-07,4.52,44%,7.07,47%,1.26,25%,75%,0.6
Luana Carolina,Record: 8-4-0,167.6,Flyweight,175.3,Orthodox,1993-06-11,4.98,50%,4.43,45%,0.00,0%,78%,0.8
Luana Pinheiro,Record: 11-1-0,157.5,Flyweight,157.5,Orthodox,1992-11-18,3.86,39%,3.67,63%,2.83,50%,50%,0.4
Luana Santos,Record: 5-1-0,,Flyweight,,,2000-04-16,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Luc Bondole,Record: 5-2-2,188.0,Lightheavyweight,,,,3.35,51%,2.04,62%,0.00,0%,0%,1.8
Lucas Alexander,Record: 8-3-0,180.3,Featherweight,185.4,Orthodox,1995-07-28,5.05,53%,1.76,72%,0.00,0%,66%,0.0
Lucas Almeida,Record: 14-2-0,180.3,Featherweight,180.3,Orthodox,1991-01-31,5.29,47%,5.29,45%,0.00,0%,40%,0.0
Lucas Fernando,Record: 9-1-0,,Middleweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Lucas Gamaza,Record: 8-4-0,,Welterweight,,,,7.57,31%,6.99,45%,0.00,0%,0%,0.0
Lucas Lopes,Record: 29-19-0,188.0,Middleweight,,,1979-10-05,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Lucas Martins,Record: 19-3-0,182.9,Featherweight,182.9,Southpaw,1988-11-11,2.87,35%,4.14,60%,0.00,0%,76%,0.5
Lucas Stark,Record: 1-5-0,,Lightweight,,,,1.60,25%,3.20,66%,12.00,100%,0%,0.0
Lucasz Sudolski,Record: 8-1-0,193.0,Lightheavyweight,190.5,Orthodox,1993-06-15,5.70,67%,4.89,28%,0.00,0%,100%,0.0
Luciano Azevedo,Record: 17-9-1,190.5,Lightweight,,Orthodox,1981-06-25,0.76,45%,1.97,27%,2.28,11%,0%,0.0
Lucie Pudilova,Record: 14-8-0,172.7,Bantamweight,170.2,Orthodox,1994-06-13,3.97,37%,3.95,51%,0.62,27%,63%,0.6
Lucio Linhares,Record: 19-8-0,188.0,Middleweight,,Orthodox,1973-12-08,0.99,22%,3.47,34%,1.86,50%,50%,1.9
Lucrezia Ria,Record: 8-2-0,167.6,Flyweight,,Orthodox,1992-06-24,4.07,46%,4.40,45%,1.00,33%,0%,0.0
Ludovit Klein,Record: 19-4-1,170.2,Lightweight,182.9,Southpaw,1995-02-22,3.44,54%,3.67,49%,1.22,40%,81%,0.0
Luigi Fioravanti,Record: 26-15-0,172.7,Welterweight,177.8,Orthodox,1981-01-22,2.23,42%,2.21,69%,3.76,63%,67%,0.9
Luigi Vendramini,Record: 9-3-0,172.7,Lightweight,185.4,Orthodox,1996-01-16,2.82,40%,3.82,57%,1.11,15%,100%,0.6
Luis Gomez,Record: 4-1-0,170.2,Featherweight,172.7,Orthodox,1995-01-28,1.57,33%,4.03,55%,4.48,50%,33%,0.0
Luis Henrique,Record: 10-5-0 (1 NC),188.0,Heavyweight,188.0,Orthodox,1993-08-21,1.81,43%,2.22,47%,3.09,36%,50%,1.0
Luis Mendoza,Record: 0-1-0,,Lightweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Luis Pajuelo,Record: 7-1-0,,Featherweight,,,1994-12-12,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Luis Pena,Record: 9-3-0,190.5,Lightweight,190.5,Southpaw,1993-07-05,3.66,46%,3.12,51%,1.17,33%,48%,1.2
Luis Ramos,Record: 20-10-2,172.7,Welterweight,,Orthodox,1981-01-18,2.40,35%,5.60,42%,1.50,20%,100%,0.0
Luis Rodriguez,Record: 11-2-0,167.6,Flyweight,165.1,Orthodox,1999-05-07,1.27,37%,3.20,54%,2.00,50%,100%,2.0
Luis Saldana,Record: 16-7-1,180.3,Featherweight,185.4,Orthodox,1991-01-27,5.16,50%,3.65,60%,0.64,17%,44%,0.2
Luis Santos,Record: 63-10-1 (1 NC),185.4,Welterweight,,Southpaw,,4.40,57%,4.00,64%,0.00,0%,0%,0.0
Luiz Azeredo,Record: 15-10-0,175.3,Lightweight,,Orthodox,1976-06-10,2.16,39%,2.76,57%,1.07,50%,45%,0.3
Luiz Cane,Record: 17-7-0 (1 NC),188.0,Middleweight,195.6,Southpaw,1981-04-24,4.79,41%,5.00,60%,0.56,28%,100%,0.3
Luiz Dutra,Record: 13-6-1,180.3,Welterweight,,Orthodox,1982-05-06,3.92,50%,4.80,41%,0.00,0%,100%,0.0
Luiz Firmino,Record: 19-8-0,167.6,Lightweight,,Orthodox,1982-03-18,1.23,50%,1.22,51%,3.86,45%,20%,0.9
Lukasz Brzeski,Record: 8-3-1 (1 NC),193.0,Heavyweight,198.1,Orthodox,1992-05-17,5.11,47%,3.35,56%,0.68,50%,42%,0.7
Lukasz Les,Record: 8-3-0,,Welterweight,,,1981-11-05,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Lukasz Sajewski,Record: 13-3-0,172.7,Lightweight,180.3,Orthodox,1990-11-27,2.06,35%,3.88,57%,1.01,25%,66%,0.0
Luke Barnatt,Record: 13-4-0,198.1,Middleweight,195.6,Orthodox,1988-04-13,4.43,36%,3.87,59%,0.63,42%,63%,0.4
Luke Caudillo,Record: 17-17-0,170.2,Lightweight,,Orthodox,1980-11-30,1.97,28%,5.07,55%,0.44,20%,85%,0.0
Luke Cummo,Record: 6-6-0,182.9,Welterweight,188.0,Orthodox,1980-04-27,1.74,43%,1.50,59%,0.89,55%,42%,1.4
Luke Flores,Record: 9-2-0,182.9,Lightweight,185.4,Southpaw,1988-03-17,1.56,44%,1.88,60%,0.00,0%,40%,1.2
Luke Hartwig,Record: 0-1-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Luke Jumeau,Record: 13-5-0,180.3,Welterweight,182.9,Orthodox,1988-02-12,2.93,43%,3.17,58%,0.25,100%,86%,0.0
Luke Rockhold,Record: 16-6-0,190.5,Middleweight,195.6,Southpaw,1984-10-17,4.10,49%,2.68,53%,0.70,29%,65%,1.0
Luke Sanders,Record: 13-5-0,167.6,Bantamweight,170.2,Southpaw,1985-12-12,6.61,52%,4.37,50%,0.71,30%,72%,0.2
Luke Stewart,Record: 6-3-0,180.3,Welterweight,,Orthodox,,3.75,56%,2.34,53%,3.75,33%,50%,1.9
Luke Zachrich,Record: 14-4-0,188.0,Middleweight,188.0,Orthodox,1981-12-19,4.56,32%,4.46,62%,0.74,33%,80%,0.0
Lumumba Sayers,Record: 6-5-0,182.9,Middleweight,,,1978-06-30,2.54,41%,2.37,48%,7.63,75%,0%,2.5
Lv Zhenhong,Record: 16-6-0,172.7,Featherweight,170.2,Switch,1993-06-25,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Lyle Beerbohm,Record: 24-3-0,177.8,Lightweight,,Southpaw,1979-02-05,1.98,55%,1.61,54%,2.10,23%,64%,0.3
Lyman Good,Record: 21-6-0 (1 NC),182.9,Welterweight,188.0,Orthodox,1985-05-26,5.34,48%,4.01,63%,0.27,100%,75%,0.0
Lyoto Machida,Record: 24-8-0,185.4,Middleweight,188.0,Southpaw,1978-05-30,2.59,53%,1.57,61%,1.21,65%,75%,0.4
Mabelly Lima,Record: 7-1-0,157.5,Bantamweight,,Orthodox,1994-01-25,3.07,63%,5.67,44%,0.00,0%,100%,0.0
Mac Danzig,Record: 21-12-1,172.7,Lightweight,177.8,Orthodox,1980-01-02,3.39,48%,3.44,57%,1.20,37%,46%,0.6
Maciej Jewtuszko,Record: 12-3-0,182.9,Lightweight,,Southpaw,1981-01-31,2.29,45%,1.39,66%,0.00,0%,42%,0.9
Mack Brewer,Record: 0-1-0,,Lightheavyweight,,,,0.00,0%,6.67,36%,0.00,0%,0%,0.0
Mackens Semerzier,Record: 8-4-0 (1 NC),175.3,Featherweight,182.9,Orthodox,1980-11-03,2.91,45%,3.48,46%,2.14,50%,50%,2.1
Mackenzie Dern,Record: 13-3-0,162.6,Flyweight,160.0,Orthodox,1993-03-24,3.36,40%,4.09,51%,0.81,15%,40%,1.5
Macy Chiasson,Record: 9-3-0,180.3,Bantamweight,182.9,Orthodox,1991-07-27,3.64,44%,2.61,46%,2.17,34%,64%,0.3
Mads Burnell,Record: 9-3-0,172.7,Featherweight,175.3,Orthodox,1994-03-06,1.28,41%,2.71,51%,3.45,47%,22%,0.4
Magno Almeida,Record: 10-3-0 (1 NC),182.9,Lightweight,,,1985-06-06,1.67,36%,2.60,41%,0.00,0%,40%,5.0
Magnus Cedenblad,Record: 14-5-0,195.6,Middleweight,200.7,Orthodox,1982-04-10,2.38,51%,3.02,40%,2.87,64%,66%,1.0
Magomed Ankalaev,Record: 18-1-1,190.5,Lightheavyweight,190.5,Orthodox,1992-06-02,3.55,52%,2.15,59%,0.99,29%,86%,0.0
Magomed Mustafaev,Record: 14-4-0,172.7,Lightweight,180.3,Orthodox,1988-08-02,2.59,58%,2.68,41%,3.31,50%,23%,0.4
Magomed Sultanakhmedov,Record: 18-6-0,188.0,Middleweight,,Southpaw,,0.00,0%,2.40,42%,9.00,100%,0%,9.0
Maheshate,Record: 9-3-0,182.9,Lightweight,180.3,Orthodox,1999-12-01,2.91,26%,4.86,49%,0.00,0%,45%,0.0
Maia Stevenson,Record: 6-5-0,162.6,Flyweight,157.5,Orthodox,1982-03-19,1.57,54%,3.13,33%,3.91,100%,50%,0.0
Maiara Amanajas dos Santos,Record: 7-3-0,165.1,Flyweight,,Southpaw,1987-07-11,5.53,35%,24.47,33%,0.00,0%,100%,0.0
Maiju Kujala,Record: 6-3-0,,Bantamweight,,,,2.50,40%,5.50,36%,0.00,0%,50%,0.0
Maimaitituoheti Keremuaili,Record: 26-11-0,167.6,Bantamweight,167.6,Orthodox,1991-03-18,1.47,52%,1.67,37%,1.00,33%,84%,0.0
Maiquel Falcao,Record: 37-10-0 (1 NC),180.3,Middleweight,,Orthodox,1981-03-08,1.67,55%,0.53,86%,1.00,100%,71%,3.0
Mairbek Taisumov,Record: 27-6-0,175.3,Lightweight,185.4,Orthodox,1988-08-08,2.98,39%,3.03,64%,1.34,63%,88%,0.0
Maka Watson,Record: 4-2-0,,Lightweight,,,1984-09-22,0.93,37%,1.60,22%,2.00,100%,33%,0.0
Makhmud Muradov,Record: 25-8-0,188.0,Middleweight,190.5,Orthodox,1990-02-08,4.35,42%,2.72,60%,0.70,37%,76%,0.2
Maki Pitolo,Record: 13-9-0,177.8,Middleweight,190.5,Orthodox,1990-11-24,4.10,44%,3.93,55%,2.24,52%,50%,0.8
Makoto Takimoto,Record: 6-5-0,170.2,Lightheavyweight,,Southpaw,1979-12-08,1.37,39%,1.71,55%,1.48,50%,25%,1.1
Makwan Amirkhani,Record: 17-9-0,177.8,Featherweight,182.9,Southpaw,1988-11-08,1.33,44%,2.98,46%,3.96,43%,35%,1.1
Mal Foki,Record: 5-5-0,170.2,Lightheavyweight,,Orthodox,,2.86,14%,14.29,54%,0.00,0%,0%,0.0
Malcolm Gordon,Record: 14-7-0,170.2,Flyweight,180.3,Switch,1990-05-19,1.93,42%,2.26,42%,1.61,30%,9%,0.8
Malik Lewis,Record: 5-1-0,182.9,Lightweight,193.0,Orthodox,1996-03-04,8.53,67%,7.09,31%,7.88,50%,50%,0.0
Mallory Martin,Record: 7-5-0,162.6,Flyweight,160.0,Orthodox,1994-01-29,4.42,48%,6.64,55%,2.28,43%,25%,0.3
Mana Martinez,Record: 10-4-0,177.8,Bantamweight,177.8,Orthodox,1996-03-25,4.33,48%,4.94,50%,0.72,42%,25%,0.5
Mando Gutierrez,Record: 7-2-0,167.6,Bantamweight,177.8,Southpaw,1997-02-24,0.80,75%,1.33,50%,1.00,100%,40%,1.0
Mandy Bohm,Record: 8-2-0 (1 NC),170.2,Flyweight,180.3,Orthodox,1989-07-30,2.51,45%,3.24,60%,0.72,18%,75%,0.7
Manel Kape,Record: 18-6-0,165.1,Flyweight,172.7,Southpaw,1993-11-14,4.46,52%,3.92,54%,0.56,28%,69%,0.6
Manny Bermudez,Record: 14-2-0,177.8,Featherweight,180.3,Orthodox,1994-07-16,2.92,61%,2.68,46%,3.06,54%,0%,3.1
Manny Tapia,Record: 12-14-1,165.1,Bantamweight,170.2,Orthodox,1981-03-14,2.69,21%,4.74,58%,0.49,40%,66%,0.2
Manny Vazquez,Record: 11-2-0,177.8,Flyweight,182.9,Orthodox,1993-11-19,1.47,41%,2.67,48%,1.00,33%,0%,1.0
Manon Fiorot,Record: 10-1-0,170.2,Flyweight,165.1,Orthodox,1990-02-17,6.58,42%,3.14,71%,1.69,50%,83%,0.0
Manuel Gaxhja,Record: 7-0-0,172.7,Lightweight,,Switch,1997-07-23,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Manuel Rodriguez,Record: 11-5-0,175.3,Welterweight,,Orthodox,1985-04-25,0.81,33%,3.23,38%,9.09,75%,0%,0.0
Manuel Torres,Record: 14-2-0,177.8,Lightweight,185.4,,1995-03-25,9.66,58%,3.76,56%,0.00,0%,100%,0.0
Manvel Gamburyan,Record: 15-10-0 (1 NC),165.1,Bantamweight,170.2,Orthodox,1981-05-08,2.13,41%,2.83,55%,3.26,34%,69%,0.7
Mara Romero Borella,Record: 12-9-0 (2 NC),167.6,Flyweight,175.3,Orthodox,1986-06-03,2.54,37%,2.48,71%,1.83,44%,66%,0.2
Marc Cofer,Record: 7-5-0,,Middleweight,,,1972-03-03,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Marc Diakiese,Record: 16-6-0,177.8,Lightweight,185.4,Orthodox,1993-03-16,2.73,40%,2.63,53%,3.33,43%,67%,0.0
Marc Stevens,Record: 21-10-0,175.3,Lightweight,,,,0.45,26%,1.79,46%,0.00,0%,0%,0.0
Marc-Andre Barriault,Record: 16-6-0 (1 NC),185.4,Middleweight,188.0,Orthodox,1990-02-18,5.95,47%,5.22,53%,0.24,25%,67%,0.1
Marcel Fortuna,Record: 9-3-0,185.4,Lightheavyweight,188.0,Orthodox,1985-10-22,3.83,46%,4.52,64%,0.45,8%,75%,0.5
Marcelo Aguiar,Record: 2-3-1,177.8,Welterweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Marcelo Brito,Record: 13-8-0,185.4,Welterweight,,Orthodox,1977-11-27,0.60,20%,3.53,55%,0.00,0%,50%,0.0
Marcelo Golm,Record: 6-3-0,190.5,Heavyweight,190.5,Orthodox,1992-09-15,4.27,58%,4.30,45%,0.45,50%,87%,0.5
Marcelo Guimaraes,Record: 9-2-1,182.9,Middleweight,185.4,Orthodox,1983-06-25,4.67,51%,4.41,62%,1.99,13%,0%,0.0
Marcelo Mello,Record: 1-0-0,170.2,Welterweight,,Southpaw,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Marcelo Rojo,Record: 16-10-0,172.7,Featherweight,180.3,Orthodox,1988-07-02,4.92,39%,6.42,55%,0.46,50%,66%,0.0
Marcin Bandel,Record: 15-7-0,177.8,Lightweight,,Orthodox,1989-10-10,0.79,50%,5.26,23%,0.00,0%,0%,0.0
Marcin Held,Record: 23-7-0,175.3,Lightweight,180.3,Orthodox,1992-01-18,1.41,34%,2.02,47%,2.46,46%,37%,1.3
Marcin Prachnio,Record: 16-6-0,190.5,Lightheavyweight,188.0,Orthodox,1988-07-14,5.70,54%,3.26,55%,0.00,0%,62%,0.0
Marcin Tybura,Record: 24-7-0,190.5,Heavyweight,198.1,Orthodox,1985-11-09,3.55,48%,3.31,55%,1.39,33%,79%,0.1
Marcin Wrzosek,Record: 12-4-0,175.3,Lightweight,,,1987-10-14,3.47,43%,4.07,43%,3.00,25%,33%,0.0
Marcio Alexandre Junior,Record: 17-4-0,182.9,Middleweight,190.5,Southpaw,1989-05-05,1.61,45%,2.89,42%,0.35,20%,66%,0.7
Marcio Cruz,Record: 8-3-0,193.0,Heavyweight,,Orthodox,1978-04-24,2.92,46%,1.51,68%,0.53,7%,37%,1.6
Marcio Navarro,Record: 14-14-0,182.9,Lightweight,,,1978-09-17,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Marco Beltran,Record: 8-6-0,172.7,Flyweight,175.3,Orthodox,1986-05-18,2.07,37%,1.93,63%,0.70,50%,46%,0.2
Marco Polo Reyes,Record: 8-7-0,180.3,Lightweight,180.3,Orthodox,1984-11-07,6.00,37%,5.52,59%,0.00,0%,46%,0.0
Marco Ruas,Record: 9-4-2,185.4,Lightheavyweight,,Orthodox,1961-01-23,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Marco Tulio,Record: 9-1-0,,Middleweight,,,1994-08-30,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Marcos Bonilla,Record: 4-4-0,177.8,Featherweight,,,,0.47,12%,0.47,94%,0.00,0%,0%,0.0
Marcos Brigagao,Record: 11-1-0,190.5,Lightheavyweight,193.0,Southpaw,1996-04-01,3.07,43%,3.27,25%,0.00,0%,36%,0.0
Marcos Conrado Jr.,Record: 5-1-0,188.0,Lightheavyweight,,Orthodox,1982-03-14,1.60,34%,9.69,35%,1.84,14%,0%,0.0
Marcos Galvao,Record: 18-8-1,170.2,Bantamweight,,Orthodox,1981-06-23,1.97,32%,3.86,61%,2.27,28%,88%,1.1
Marcos Mariano,Record: 6-6-0,185.4,Lightweight,193.0,Switch,1986-10-12,0.25,27%,2.11,43%,0.00,0%,28%,0.0
Marcos Rogerio de Lima,Record: 21-9-1,185.4,Heavyweight,190.5,Orthodox,1985-06-25,3.62,56%,2.83,51%,1.35,47%,59%,0.5
Marcos Vinicius,Record: 23-11-1,175.3,Flyweight,,Orthodox,1979-12-05,1.93,49%,2.91,47%,0.00,0%,25%,0.5
Marcos da Matta,Record: 11-3-0,162.6,Featherweight,,,1973-03-18,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Marcus Aurelio,Record: 22-10-0,177.8,Lightweight,188.0,Orthodox,1973-08-18,1.42,33%,2.27,59%,1.69,27%,27%,1.3
Marcus Bossett,Record: 1-3-0,185.4,Lightheavyweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Marcus Brimage,Record: 7-7-0,162.6,Bantamweight,180.3,Southpaw,1985-04-06,3.97,35%,3.64,56%,0.56,100%,80%,0.0
Marcus Davis,Record: 22-11-0 (1 NC),177.8,Welterweight,177.8,Southpaw,1973-08-24,2.72,39%,2.79,65%,1.60,48%,47%,1.4
Marcus Hicks,Record: 10-4-0 (1 NC),167.6,Lightweight,162.6,Southpaw,1975-11-25,1.42,43%,3.06,61%,2.70,53%,25%,4.0
Marcus Jones,Record: 4-2-0,198.1,Heavyweight,,Orthodox,1973-08-15,1.94,52%,2.71,58%,8.71,75%,0%,2.9
Marcus Kowal,Record: 3-1-1,,Bantamweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Marcus LeVesseur,Record: 22-7-0,175.3,Lightweight,177.8,Southpaw,1982-07-17,2.55,64%,3.70,37%,3.89,36%,83%,0.6
Marcus McGhee,Record: 7-1-0,172.7,Bantamweight,175.3,Orthodox,1990-05-07,3.55,47%,1.84,71%,0.00,0%,100%,2.1
Marcus Silveira,Record: 6-4-0 (1 NC),190.5,Heavyweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Maria Oliveira,Record: 13-7-0,167.6,Flyweight,175.3,Orthodox,1996-12-12,5.03,38%,5.76,44%,0.95,44%,47%,0.0
Maria Rios,Record: 2-3-0,165.1,Flyweight,,,1983-05-31,2.93,34%,4.13,56%,2.00,50%,100%,0.0
Maria Silva,Record: 8-1-0,160.0,Flyweight,162.6,Orthodox,1995-12-19,3.00,57%,1.13,62%,2.00,100%,55%,0.5
Marilia Santos,Record: 10-3-0,162.6,Flyweight,,Orthodox,1992-12-12,4.40,54%,4.07,53%,1.00,100%,66%,1.0
Marina Rodriguez,Record: 16-3-2,167.6,Flyweight,165.1,Orthodox,1987-04-29,4.58,47%,2.94,56%,0.17,33%,64%,0.2
Mario Bautista,Record: 12-2-0,175.3,Bantamweight,175.3,Switch,1993-07-01,5.33,50%,3.73,54%,2.91,68%,62%,1.3
Mario Miranda,Record: 14-7-0,190.5,Middleweight,188.0,Orthodox,1979-07-12,1.96,54%,2.46,36%,1.02,60%,54%,0.0
Mario Neto,Record: 13-5-0,182.9,Heavyweight,,Orthodox,,1.89,50%,1.89,70%,2.84,100%,0%,0.0
Mario Rivera,Record: 6-8-0,177.8,Welterweight,,,,0.00,0%,8.41,20%,0.00,0%,0%,0.0
Mario Soto,Record: 7-2-0,182.9,Featherweight,,,,1.43,23%,5.23,42%,0.00,0%,0%,0.0
Mario Sousa,Record: 15-3-0,190.5,Middleweight,200.7,Orthodox,1996-10-20,2.82,50%,2.99,28%,0.52,25%,37%,0.5
